Terms,TOP,BOT
displacement,0,2
display,3,7
displayed,1,1
displaying,0,1
displays,1,1
dispossess,2,0
disproportionate,0,3
dispute,1,0
disputed,0,1
disputes,0,1
disrespected,0,1
disrespects,0,1
disruption,0,1
dissatisfied,2,0
disseminate,0,1
disseminated,0,1
dissolving,0,1
distance,9,3
distances,1,2
distancing,1,0
distant,4,1
distill,0,1
distillates,0,1
distilled,1,0
distinct,2,0
distinction,2,0
distinctive,0,1
distinguish,0,2
distinguished,0,1
distinguishes,1,1
distorted,0,1
distortions,1,0
distorts,1,0
distract,1,0
distracted,3,2
distraction,2,0
distress,1,0
distressed,1,0
distributed,0,7
distributeslaughterso,1,0
distribution,4,7
distributions,1,2
distributor,0,1
district,1,0
disturbing,1,0
ditchthe,0,1
diva,1,0
dive,3,0
diver,3,0
divergence,0,1
divers,2,1
diverse,2,6
diversity,1,7
diverting,2,1
dives,0,1
divethats,1,0
divide,2,0
divided,6,1
dividedthe,0,1
divine,6,3
diving,1,0
divinityand,1,0
division,3,2
divorce,8,0
divorced,1,1
diy,0,1
dna,0,3
dnc,1,0
doable,0,1
doand,1,0
doapplauselaughteri,1,0
doar,1,0
dobby,1,0
doc,8,0
docilelooking,1,0
doctor,19,22
doctora,1,0
doctoral,1,0
doctored,1,0
doctorpatient,0,1
doctors,13,17
doctorthe,0,1
doctrine,0,1
document,3,3
documentary,0,3
documentation,0,1
documented,0,1
documentedwe,0,1
documenting,0,1
documents,1,19
doesapplauseand,0,1
doesaudience,1,0
doeseither,0,1
doesnt,66,50
doesour,0,1
doesvolunteer,1,0
doeswhats,1,0
dog,5,13
dogberts,1,0
dogma,5,1
dogmatic,0,2
dogmatism,1,0
dogs,3,16
doha,3,0
doin,1,0
doingand,1,0
doingnow,1,0
doingone,0,1
doings,0,1
doingthe,0,1
doiron,0,1
dolaughterand,2,0
dolaughterevery,1,0
dolaughteridiot,1,0
dolaughteris,1,0
dollar,2,3
dollars,17,30
dollarswell,0,1
dolls,1,4
domain,0,1
domains,1,1
domany,1,0
domestic,2,1
dominance,4,0
dominanceand,1,0
dominant,4,0
dominate,2,3
dominated,1,3
domingos,0,9
dominionin,0,1
dominique,1,0
domy,0,1
donated,0,3
done,54,54
donekb,1,0
donelaughterlaughterkb,1,0
donenow,0,1
donethank,1,0
donna,0,1
donors,0,1
donow,1,0
dont,312,227
dontar,1,0
doomed,3,1
doomwhat,0,1
door,9,8
doorbell,1,0
doorher,0,1
doorkeeper,0,1
doorliespotters,1,0
doors,2,1
doorstep,0,1
doorway,0,1
dopamine,9,0
dopamines,1,0
doph,0,1
dora,1,0
doren,0,1
dorm,3,0
dormant,1,0
dormouse,0,2
dorms,1,0
dose,0,4
doso,0,1
dot,4,1
dotage,0,1
dotcom,0,3
dothere,0,1
dots,0,1
double,5,2
doublecheck,1,0
doubled,0,1
doubles,0,2
doubt,3,4
doubtful,1,0
doubting,1,0
doubts,0,1
doug,0,1
dough,0,4
dove,1,1
dow,0,1
dowhat,1,0
downand,0,1
downapplausewhat,1,0
downfall,1,0
downlaughterand,1,0
download,0,2
downloading,1,0
downright,2,0
downs,2,0
downstairs,2,0
downstream,0,1
downtime,1,0
downtown,2,0
downtrodden,0,1
downturn,1,0
downward,1,1
downwhat,1,0
dozen,2,1
dozens,0,2
dozing,0,2
draft,1,1
drag,1,0
dragged,0,1
dragging,0,3
drain,0,1
drama,1,0
dramatic,5,0
dramatically,0,1
drank,4,0
draw,6,8
drawback,0,1
drawer,1,0
drawing,6,2
drawings,0,4
drawn,5,2
draws,0,2
dread,1,0
dreadfullaughterits,1,0
dream,10,6
dreamed,1,1
dreami,1,0
dreaming,1,0
dreamingweve,0,1
dreaminvictus,0,1
dreams,10,6
dreamt,1,0
dreamwe,0,1
dreamyou,0,1
dresden,1,0
dress,2,3
dressed,0,4
dresses,0,3
dressing,3,1
dressings,3,0
dresslaughterso,1,0
dresswe,0,1
drew,0,3
dried,0,4
dries,1,0
drift,6,0
drifted,1,2
drifting,1,0
drill,0,2
drink,3,3
drinking,1,4
drip,2,1
dripping,0,2
drips,0,1
drive,16,7
drive—,1,0
driveand,2,0
drivelaughteri,1,0
driven,6,5
driver,5,1
drivers,3,4
drives,3,4
driving,12,9
drivinglaughterdo,1,0
dromedary,0,2
drone,0,2
droopy,1,0
drop,9,5
droplets,0,3
dropoffs,0,1
dropped,7,3
dropping,1,1
drops,1,0
droughtwell,0,1
drove,4,1
drown,1,0
drowned,0,1
drowning,1,1
drowningthen,0,1
drug,8,6
drugnow,1,0
drugresistant,0,1
drugs,6,9
drum,1,0
drummer,3,0
drunk,2,2
drunkenly,0,1
dry,1,4
dsm,1,0
dual,1,1
dubbed,1,1
dubious,0,1
dublin,0,1
duckforgetting,0,1
ducks,0,3
duct,0,1
ducttaped,1,0
dude,2,0
due,2,4
duh,2,0
dulls,1,0
dumb,1,2
dumbest,0,1
dummy,0,1
dump,1,0
dumped,1,0
dumping,0,1
dumps,0,1
duncker,1,0
dune,0,3
dunes,0,2
dunescape,0,1
dung,0,1
dunked,1,0
dunlap,3,0
dunlaps,1,0
dunne,0,2
duping,2,0
dupont,0,1
durable,0,1
duration,1,0
durban,0,1
durbanand,0,1
duresslaughteri,1,0
dusk,0,1
dust,1,2
dusty,0,1
dutch,0,1
duties,0,1
duty,1,2
dvd,1,1
dvdlaughterthis,1,0
dvr,2,0
dweck,2,0
dyed,1,0
dyi,1,0
dying,7,4
dynamic,5,8
dynamics,4,2
dysfunction,1,0
eager,3,1
eagles,1,0
ear,2,1
earlier,12,12
early,18,7
earn,3,0
earned,1,3
earnedkeep,0,1
earrings,1,0
ears,4,3
earssk,0,1
earswhat,0,1
earth,22,48
earthly,0,2
earthquakes,0,1
earths,0,2
ease,1,3
easier,7,2
easierlaughterso,1,0
easiernow,0,1
easily,8,11
easilyso,1,0
east,16,13
easter,0,2
eastern,4,4
easy,37,20
easygoing,0,1
eat,5,9
eatalso,0,1
eaten,2,1
eaters,0,1
eating,4,2
eatingthe,0,1
eats,1,0
ebaybut,0,1
ebitaapplausebut,0,1
ecclesiastical,0,1
echo,1,1
echopin,1,0
eclipses,1,0
ecological,0,2
ecologically,2,0
ecology,2,1
ecommerce,0,1
economic,11,12
economical,1,0
economically,1,1
economics,5,3
economies,0,2
economist,2,1
economists,7,1
economy,6,22
ecosystem,0,4
ecosystems,0,4
ecosystemswhat,0,1
ecotoxicological,0,1
ecstasy,1,0
ecstatic,0,1
edema,0,1
edge,2,2
edges,1,3
edgesand,1,0
edinburgh,0,1
edison,0,2
edit,1,0
edith,1,0
editing,1,1
editor,1,6
editors,0,4
edmund,0,1
edp,0,1
educate,5,6
educated,3,0
educatei,0,1
educates,0,1
educating,4,1
education,30,23
educational,1,3
edwards,2,0
effacement,0,1
effect,11,5
effective,4,1
effectively,1,3
effectivelyall,1,0
effectiveone,0,1
effects,14,7
effectso,1,0
effectsso,0,1
effeminate,1,0
efficiencies,0,1
efficiency,0,4
efficient,0,6
efficiently,1,3
efficientwe,0,1
effort,5,8
effortlaughterapplauseapplause,1,0
efforts,1,3
egg,4,1
egglegal,1,0
eggs,0,3
ego,1,0
egos,1,1
egypt,2,3
egyptian,1,1
egyptians,0,3
egypts,0,1
ehealth,0,2
eiffel,0,1
eight,32,9
eightby10,1,0
eightfoot,2,0
eighthcentury,1,0
eighthour,1,0
eightpound,0,1
einstein,0,4
einsteinapplause,0,1
einsteins,0,3
either,23,18
eitherive,1,0
eitherthulasiraj,0,1
eitherwere,0,1
ejaculated,1,0
ejaculatelaughtertheres,1,0
ejaculation,1,1
ejected,1,0
eke,0,1
elaine,0,1
élan,1,0
elastic,0,4
elasticity,0,2
elation,2,0
elder,1,6
elderly,0,2
elders,0,2
eleanor,1,0
elect,0,1
elected,0,1
election,1,2
elections,0,1
electionsbut,0,1
electric,0,4
electrical,0,2
electricity,0,3
electrode,1,0
electroencephalogram,1,0
electron,0,1
electronic,0,9
electronics,2,3
elegance,0,1
elegant,1,1
element,1,1
elementary,0,2
elementaryschool,0,1
elements,2,5
elephant,1,4
elephants,0,1
elevated,1,0
elevates,1,0
elevation,0,2
elevator,1,0
elevators,1,2
eleven,1,0
elf,1,0
eliminate,2,1
eliminating,0,1
elite,0,1
elle,0,1
ellen,1,1
else,38,29
elseapplausethis,0,1
elseokay,0,1
elses,6,5
elsethank,0,1
elsewhere,1,2
elude,0,1
eluded,0,1
elusive,2,1
emaciated,1,0
email,18,2
emailed,3,0
emailing,1,0
emails,10,0
emailslaughteri,1,0
emanate,1,0
embarkation,0,1
embarked,0,1
embarrass,0,1
embarrassed,0,1
embarrassedly,1,0
embarrassing,0,1
embarrassment,3,0
embassies,1,0
embassy,1,0
embed,0,1
embedded,3,3
ember,0,1
embodied,0,1
embodiment,1,0
emboss,0,1
embrace,1,5
embracebleeding,0,1
embraced,1,2
embraces,0,1
embroidery,1,0
emeka,0,1
emerge,2,2
emerged,2,1
emergence,0,2
emergency,2,0
emerges,1,1
emerging,0,7
emerson,1,0
emeruwa,0,2
eminently,1,0
emirates,2,0
emissions,0,2
emma,14,0
emmas,3,0
emoticons,1,0
emotion,17,1
emotional,9,4
emotionally,2,0
emotions,12,2
emotionsnow,1,0
empathetic,0,1
empathize,0,1
empathy,11,4
empathythats,0,1
emphasis,0,2
emphasize,1,2
emphasizes,1,0
emphatically,1,0
empire,0,2
empires,0,2
employ,0,1
employedbut,1,0
employees,4,3
employer,3,0
employers,0,1
employing,0,1
employment,0,1
empower,1,1
empowered,0,1
empowering,1,2
empowerment,0,1
empress,1,0
empty,4,2
emptyi,0,1
enable,2,5
enabled,2,0
enabler,0,1
enables,3,2
enabling,0,1
enablis,0,1
encampments,0,1
encarta,1,0
enchanting,1,0
encompass,0,1
encounter,2,1
encounters,1,0
encourage,5,3
encouraged,1,2
encouraging,1,2
encyclopedia,3,0
end,54,64
endangered,0,2
endeavor,0,1
ended,7,8
ending,3,7
endless,3,2
endowed,0,1
ends,9,1
endsand,1,0
endsapplause,0,1
endsapplausemy,0,1
endsapplausenow,1,0
endsapplauseviolin,0,1
endsas,1,0
endsat,2,0
endsattention,1,0
endsbut,1,0
endshe,2,0
endsheroically,1,0
endsi,2,0
endsin,1,0
endsit,1,0
endsive,1,0
endslet,2,0
endsnow,4,0
endsokay,2,0
endsso,2,0
endsthe,1,0
endsthen,1,0
endsthey,1,0
endsthis,1,0
endsyou,2,0
endtoend,0,2
endured,0,1
enduring,1,2
endyes,0,1
endyou,0,1
endyoure,0,1
enemies,1,6
enemy,3,11
enemywe,0,1
energized,1,1
energy,28,22
energyand,1,0
energybeing,1,0
energybeings,1,0
enfant,0,1
enforcing,0,1
engage,2,4
engaged,3,1
engagement,3,2
engaging,2,1
engelbart,0,2
engine,3,2
engineer,2,0
engineering,1,5
engineers,5,4
enginehere,1,0
england,5,4
english,11,10
englishfrench,1,0
engulfed,1,0
enhance,0,1
enhanced,2,0
enhances,1,0
enhancing,0,1
enigmas,0,1
enjoy,5,3
enjoyable,0,1
enjoyed,2,1
enjoying,1,0
enjoyment,0,2
enjoys,0,1
enlarged,1,0
enlargements,1,0
enlightening,0,1
enlightenment,0,2
enlists,0,1
enliven,0,1
eno,0,1
enormous,9,11
enormously,1,0
enormousness,1,0
enough,47,28
enoughafter,1,0
enoughfrom,0,1
enoughlaughteri,1,0
enoughnow,1,0
enoughspecial,0,1
enoughthere,1,0
enoughto,0,1
enrolled,0,1
enron,2,0
enslave,0,2
enslavedand,0,1
enslaving,0,1
ensure,0,2
ensured,0,4
ensuring,0,1
entail,0,1
entails,0,1
enter,9,7
entered,5,2
entering,1,2
enterprise,1,0
entertain,1,1
entertained,1,0
entertaining,1,1
entertainment,2,10
entertainmentthe,1,0
enthrallment,0,2
enthusiasm,0,4
enthusiastic,2,0
enthusiastically,1,1
enthusiasts,0,1
entice,1,0
entire,21,15
entirely,11,0
entirety,1,0
entitled,1,0
entity,1,1
entrance,2,2
entrappedin,0,1
entrepreneur,0,1
entrepreneurial,1,1
entrepreneurism,0,1
entrepreneurs,1,3
entry,1,2
enveloped,1,0
environment,6,11
environmental,0,8
environmentalists,0,1
environmentally,0,2
environmentapplauseca,1,0
environmentricky,0,1
environments,4,2
environmentso,0,1
envisaged,0,1
envision,0,1
envy,2,1
epidemic,2,4
epidemics,0,1
epidemicsso,0,1
epiphanies,1,0
epiphany,2,1
episode,0,4
epistemological,0,1
equal,6,3
equality,1,2
equalize,0,1
equally,7,3
equals,3,0
equalsi,1,0
equate,1,0
equation,0,2
equations,3,0
equilibrium,0,1
equipment,2,8
equipped,1,0
equitable,0,2
equity,0,1
equivalent,0,4
era,4,15
erase,2,0
erasing,0,2
erected,0,1
erectile,1,0
erection,0,1
erica,0,1
erin,2,0
eroding,0,1
eros,1,0
erotic,16,1
eroticism,2,0
eroticismso,1,0
err,1,0
errand,1,0
error,4,0
erupt,2,0
erupteda,0,1
eruptions,0,1
erythema,0,1
escalated,0,1
escalating,0,1
escalation,1,0
escape,2,4
escaped,0,1
escapenorth,1,0
escarpment,0,1
esoteric,1,1
especially,19,17
espresso,0,1
essence,1,2
essential,3,3
essentially,5,7
establish,1,3
established,0,2
establishment,0,1
estate,1,1
esteem,1,0
estimate,2,1
estimated,1,0
estimates,2,2
estimation,3,0
estrogen,2,0
etc,10,3
etcetera,0,2
etclet,0,1
eternal,1,9
eternally,0,1
eternalnow,0,1
eternity,2,0
ethic,2,0
ethical,0,6
ethics,1,3
ethnic,1,12
ethnicity,0,1
ethos,0,1
etiquette,0,1
euphoria,3,0
eureka,1,0
euro,1,0
europaea,0,1
europe,7,11
european,0,1
europeans,0,1
europhiles,0,1
euvin,0,1
evaluate,1,0
evaluated,1,0
evaluation,1,0
evaluative,2,0
evaluators,2,0
evangelize,0,1
evaporating,0,1
eve,1,0
evelin,0,1
even,146,124
evening,1,3
evenings,1,0
evennow,1,0
event,3,6
events,5,2
eventual,0,1
eventually,9,14
ever,70,48
everest,1,0
everevolving,0,1
everexpanding,0,1
every,113,104
everybody,46,24
everybodyive,1,0
everybodylaughteranyway,1,0
everybodylaughterso,1,0
everybodynow,1,0
everybodys,0,2
everyday,9,6
everyone,35,18
everyones,2,3
everything,62,56
everythingand,0,1
everythings,1,2
everythingso,0,1
everythingthis,1,0
everywhere,10,18
everywhereso,0,1
everywherethere,1,0
evidence,18,8
evidencebased,1,0
evidencepersist,1,0
evil,4,13
evocation,0,1
evokes,0,2
evolution,5,3
evolutionarily,1,0
evolutionary,5,6
evolve,2,1
evolved,9,1
evolvein,0,1
evolving,1,2
ewaste,0,1
exact,8,2
exacted,1,0
exactly,27,16
exactlylaughtersadly,1,0
exaggerate,1,0
exaggerated,2,0
exaggerating,1,0
exaggeration,2,1
exam,0,1
examination,0,1
examine,2,2
examined,1,0
examining,0,1
examjust,1,0
example,35,53
exampleand,0,1
examplei,1,0
examplelaughternow,1,0
examplerelated,0,1
examples,7,5
exams,1,1
excavated,0,1
exceedingly,3,0
excellent,13,1
except,8,8
exceptional,2,1
exceptions,2,2
excess,1,3
exchange,6,1
exchanged,1,1
exchanging,1,0
excited,20,10
excitedmusicthats,1,0
excitement,3,0
excites,1,0
exciting,5,15
exclude,0,1
excluded,1,2
exclusions,0,1
exclusively,1,4
excrement,0,2
excruciating,4,0
excruciatingly,1,0
excursion,0,1
excursions,0,1
excuse,5,1
excuselaughterokaylaughterall,1,0
excuses,0,1
execute,1,0
executed,1,0
executedeven,1,0
execution,2,0
executive,1,1
exempt,1,0
exercise,2,3
exercisei,0,1
exercises,2,0
exercising,1,0
exgirlfriend,1,0
exhausting,1,1
exhaustingnow,0,1
exhaustive,1,0
exhibit,2,1
exhibited,0,1
exhibition,0,9
exhilarating,1,0
exiled,0,1
exist,10,5
existed,3,2
existedits,1,0
existence,0,3
existencei,1,0
existential,1,0
existing,0,5
exists,3,5
existso,0,1
exit,1,0
exiting,0,1
exo,0,3
exos,0,1
exotic,0,2
expand,1,5
expanded,1,1
expanding,4,3
expanse,0,1
expansion,0,1
expansive,2,0
expect,7,6
expectancy,5,0
expectation,1,0
expectations,7,2
expectationslaughteryoull,1,0
expected,13,1
expecting,4,0
expedition,0,6
expeditionnow,0,1
expeditions,0,1
expending,1,0
expenditure,0,1
expense,0,1
expensive,6,6
experience,47,33
experienceand,1,0
experienced,12,4
experienceharry,1,0
experiencelets,1,0
experiences,15,2
experiencethank,1,0
experiencing,0,2
experiment,20,16
experimental,2,2
experimenter,2,0
experimenting,0,2
experimentingsobswhile,1,0
experimentlaughteryeah,1,0
experiments,3,8
experimentso,1,0
expert,9,0
expertise,1,1
experts,3,7
expired,1,1
explain,10,18
explained,5,3
explaining,1,3
explains,3,1
explanation,0,3
explicit,3,0
explode,1,0
exploded,2,2
explodedfinally,0,1
explodes,1,0
exploit,2,0
exploitation,0,4
exploited,0,2
exploration,6,0
explorations,1,0
exploratory,1,0
explore,7,3
explored,1,1
explorer,2,0
explorers,0,1
exploring,1,1
explosion,4,5
explosions,0,2
explosives,2,0
explosiveslaughterhe,1,0
exponential,1,0
exponentially,1,0
export,0,1
exported,0,1
exposed,2,2
exposure,0,6
express,8,3
expressed,1,0
expresses,0,1
expressing,1,0
expression,15,4
expressions,3,0
expressive,1,0
expressway,0,1
exquisite,1,3
exquisitely,1,0
extend,6,2
extended,2,5
extending,0,3
extends,0,1
extensible,0,1
extension,2,2
extensions,1,0
extensive,1,0
extensively,1,0
extent,1,2
exterior,0,3
external,8,1
extinct,0,3
extol,0,1
extra,12,3
extract,0,3
extraction,0,2
extralarge,0,1
extraneous,1,0
extraordinarily,1,0
extraordinary,7,6
extraordinaryand,1,0
extrapolate,1,2
extrapolations,0,1
extravirgin,1,0
extreme,4,11
extremely,14,7
extremes,0,1
extremists,0,1
extremities,1,0
extrinsic,3,0
extrovert,5,0
extroverted,1,0
extroverts,9,0
exuberance,0,1
exxon,0,4
eye,11,13
eyealways,0,1
eyeball,0,1
eyeballs,1,0
eyebrow,2,0
eyebrows,1,1
eyeglasses,0,1
eyelash,1,1
eyelashes,0,2
eyes,44,11
eyesapplauseshining,1,0
eyesapplausethank,1,0
eyesi,0,1
eyeslaughterright,1,0
eyesnow,1,0
eyespot,1,0
eyou,1,0
fab,0,1
fabric,1,0
fabulationyour,0,1
fabulous,1,2
fabulously,0,1
face,32,26
facebefore,0,1
facebook,3,17
faced,2,4
faces,3,5
facetoface,1,0
fâché,1,0
facial,2,2
facilitate,1,0
facilitated,0,1
facilities,0,2
facility,0,4
facing,2,2
fact,57,61
factlaughterapplauselet,1,0
facto,0,1
factor,2,0
factorapplause,1,0
factored,0,1
factorial,0,1
factors,0,2
factory,1,3
facts,7,0
factsso,1,0
fade,3,2
fades,1,0
fading,0,1
fahrenheit,1,0
fail,9,2
failed,7,1
failing,4,0
fails,1,1
failure,9,1
failurei,1,0
failurelaughterive,1,0
failurelaughterlike,1,0
failures,1,4
failuresthank,1,0
fair,7,3
faire,1,0
fairies,1,0
fairlady,0,1
fairly,6,1
fairy,1,0
fairytales,0,1
faith,3,5
faithful,1,2
faithsat,0,1
fake,17,7
faked,7,0
faking,2,0
falcons,1,0
fall,20,6
falla,0,1
fallacy,0,1
falland,0,1
fallen,2,0
falleven,0,1
fallherself,0,1
falling,2,5
falls,3,6
FALSE,4,0
falsehood,1,0
falsetto,1,0
faltering,0,1
fame,3,0
famed,1,1
familiar,2,8
familiarity,1,1
families,13,4
familiesa,1,0
family,75,38
familyand,0,1
familybut,1,0
familylaughteri,1,0
familylaughternow,1,0
familynow,0,1
familys,0,1
familyso,1,0
familythe,1,0
familythen,1,0
familythis,1,0
famine,4,2
famous,10,7
famouslaughterand,1,0
famously,5,1
fan,1,0
fanatics,0,1
fancy,4,5
fans,5,1
fantasies,1,0
fantasizing,1,0
fantastic,5,8
fantasticapplause,1,0
fantasticlooking,0,1
fantasy,1,2
far,16,30
farafina,1,0
fare,0,2
fared,1,0
farmed,0,1
farmer,0,1
farmers,3,3
farming,0,2
farmland,0,1
farms,0,1
farmsand,0,1
farnow,0,1
farrowing,1,0
farso,0,1
farther,0,2
farthest,1,1
fartphwap,0,1
farts,0,1
fascinated,6,3
fascinating,3,6
fascination,1,2
fashion,1,7
fashionistas,1,0
fast,9,12
faster,14,6
fastest,3,0
fasting,1,0
fastlaughterin,1,0
fat,4,5
fatal,2,1
fate,2,1
father,15,25
fathering,1,0
fathers,1,3
fathom,0,1
fatigue,0,1
fatter,0,1
fault,6,0
faulty,0,1
favor,4,5
favorableso,0,1
favored,1,0
favorite,13,7
favorites,2,2
fawnbut,0,2
fazed,0,1
fda,0,1
fear,17,8
fearbased,1,0
feared,1,0
fearfully,0,1
fearless,3,1
fearlessly,1,0
fears,3,1
fearscount,0,1
feasted,0,1
feathered,0,1
feathers,0,2
feats,1,0
feature,1,4
featured,1,0
features,4,3
february,2,2
fecal,1,0
fed,1,4
federal,1,4
federally,0,1
fedex,1,1
feed,2,10
feedback,4,2
feeder,1,0
feeding,0,7
feel,116,37
feeling,19,19
feelings,12,7
feelnicole,2,0
feels,6,6
fees,0,3
feesa,0,1
feet,19,30
fela,1,0
fell,6,5
fellow,1,1
fellows,0,1
felt,42,17
fema,0,3
female,10,13
femalelaughtermasters,1,0
femalestories,0,1
femininity,1,0
fences,1,0
ferment,0,1
fernando,1,0
ferocious,0,1
fertility,6,0
fertilization,0,2
fertilizer,0,4
fertilizers,0,1
fervor,1,0
fest,0,1
festival,1,1
fetal,1,0
fetid,0,1
feuds,1,0
fewer,3,6
feynman,1,0
fiber,0,1
fibers,1,0
fiction,0,3
fide,1,0
fidel,0,1
fidelity,2,1
fides,4,0
fidget,1,0
fidgeting,1,0
field,5,9
fieldlaughterim,1,0
fields,2,6
fierce,1,0
fifteen,1,1
fifth,3,3
fifty,0,1
fight,4,11
fighting,5,2
fightmb,0,1
fights,1,1
figs,0,1
figuratively,1,0
figure,23,15
figured,16,3
figures,3,3
figuring,2,4
fiji,1,0
filament,0,1
file,1,4
filed,0,1
files,0,1
filing,0,1
filipino,1,0
fill,5,10
filled,8,3
filling,2,1
film,8,16
filmadventure,0,1
filming,1,0
filmmaker,0,3
filmmakerinresidence,0,1
filmmakers,0,6
filmmaking,0,3
films,3,17
filmssonny,0,1
filter,2,3
filtering,0,2
final,5,13
finality,0,1
finally,22,15
finallyaudience,1,0
finance,0,4
financial,6,5
financially,2,2
financing,0,1
finches,0,1
find,80,74
findfirst,1,0
finding,4,4
findings,2,0
findinstead,0,1
finds,8,2
fine,11,5
finebut,1,0
finetunes,1,0
finger,1,1
fingerprint,0,2
fingers,9,2
fingertips,3,2
fingertipslaughternow,1,0
fingertipsnow,1,0
finish,10,3
finished,4,10
finishedthat,0,1
finishes,2,0
finishing,0,1
finite,2,0
fire,6,4
firecanku,0,1
fired,0,1
fireflies,2,0
fireman,1,0
firetrap,0,1
fireworks,1,0
firing,0,2
firm,3,3
firmly,3,0
firms,0,2
first,153,121
firstabsent,0,1
firstaudience,1,0
firstever,0,1
firsthand,0,1
firstjournaling,1,0
firstlaughterraise,1,0
firstlaughterso,1,0
firstso,0,1
firstyear,2,1
fish,5,39
fishbowl,5,0
fished,1,1
fisherapplause,1,0
fisheries,0,2
fishermen,0,2
fishers,0,2
fishery,0,3
fishes,0,5
fishing,0,4
fishingand,0,1
fiske,1,0
fission,6,0
fist,0,1
fit,9,10
fitness,1,1
fits,3,1
fitted,0,1
five,59,29
fiveday,0,1
fivedigit,3,0
fiveminute,1,0
fivepoint,1,0
fiveyearolds,1,0
fix,4,7
fixbut,1,0
fixed,6,4
fixedness,1,0
fixes,1,0
fixing,0,3
fizzy,2,1
flag,0,2
flags,1,1
flailing,1,0
flame,0,6
flamenco,1,0
flameout,0,1
flameretarding,0,1
flanked,1,0
flared,1,1
flaredi,0,1
flash,1,0
flashes,1,1
flashlights,0,1
flat,1,3
flatbed,0,1
flats,1,0
flatscreen,4,0
flatten,1,0
flattening,1,0
flattered,1,0
flattery,1,0
flavor,4,0
flavors,1,0
flawed,1,2
fled,0,5
flee,0,1
fleecing,1,0
fleet,0,1
flesh,1,5
flew,1,3
flexible,0,1
flick,0,1
flickers,0,1
flicking,0,1
flies,2,0
flight,15,4
flightall,1,0
flights,1,1
flip,3,1
float,4,6
floating,5,6
floats,1,0
flocked,0,1
flood,1,0
flooded,0,2
floods,1,0
floor,5,8
floors,1,1
floppy,0,1
floral,1,0
florida,1,3
flotsam,1,0
flour,1,0
flourish,1,0
flow,4,2
flower,2,2
flowers,2,2
flowing,0,1
flown,0,3
flows,0,2
flu,0,2
fluffy,2,0
fluid,0,2
fluidity,1,2
fluidwe,1,0
fluke,1,0
fluorescent,1,0
flushing,1,0
flux,0,1
fly,5,16
flyer,1,0
flying,7,4
flyso,1,0
foam,0,2
focus,27,16
focused,10,4
focuses,0,1
focusing,2,5
fois,1,0
fold,0,1
folder,3,0
folding,4,0
folklore,1,0
folks,5,3
follies,0,1
follow,20,8
followed,9,5
followers,0,3
following,5,6
follows,1,1
followsca,1,0
followup,0,1
folly,1,2
font,1,0
food,9,52
foodlaughterand,1,0
foodnone,0,1
foods,0,5
foodso,0,1
fool,1,0
fooling,0,1
foolish,1,0
fools,0,1
foot,3,7
football,1,0
footbridge,0,1
footnote,1,0
footprint,0,2
footprints,0,3
footsteps,1,1
forand,1,0
foras,0,1
forbes,1,0
forbidden,3,0
forbiddingadepts,0,1
force,6,6
forced,1,5
forceeven,1,0
forces,2,5
forcesnow,0,1
forcibly,1,0
forcing,0,1
foreboding,0,1
forecast,0,3
foreclosure,0,1
forefront,0,1
foreground,1,0
forehead,2,1
foreign,4,9
foreigner,1,0
foreigners,1,0
foremost,1,2
foreplay,2,0
forest,2,8
forestsor,0,1
foresworn,0,1
foretold,0,1
forever,6,9
foreveralwayson,0,1
foreverif,0,1
forge,1,0
forged,1,0
forger,0,1
forget,14,7
forgetting,0,1
forging,0,1
forgiving,0,1
forgo,1,0
forgone,1,0
forgot,2,0
forgotten,4,3
forjazs,0,1
forlaughterim,1,0
form,15,30
formal,1,1
format,1,1
formatfs,0,1
formation,0,2
formats,1,0
formed,3,1
former,1,2
formidable,0,1
forms,4,3
formsat,0,1
formula,6,1
forrester,0,4
forsake,1,0
forsaking,1,0
forso,0,1
forth,2,13
forthwere,1,0
fortieth,0,1
forts,0,1
fortunate,1,1
fortunately,1,1
fortune,1,5
fortunes,0,3
fortysomethings,1,0
fortytwo,0,1
forward,12,9
forwardpm,1,0
fossil,0,6
fossilized,0,1
fossils,1,0
foster,2,3
fostering,0,2
fought,3,0
found,45,44
foundation,3,8
foundations,1,2
founded,2,4
founder,0,2
founders,1,1
founding,1,0
four,66,31
fourcore,0,1
fourday,1,0
fourdigit,2,0
fours,2,0
foursometime,1,0
fourth,8,2
fourthfloor,0,1
fourthly,0,1
fouryearolds,1,0
fox,0,3
fracas,2,1
fractal,0,1
fraction,0,2
fragile,1,5
fragment,1,0
fragmented,0,1
frail,0,1
frame,0,5
framed,0,2
frames,0,2
framework,0,1
framing,0,2
franca,0,1
france,0,2
francethen,0,1
franchise,1,1
francine,1,0
francisco,0,4
franco,0,3
frank,7,0
frankincense,1,0
frankly,4,11
franklylaughterif,1,0
frantic,1,0
frantically,0,1
fraternize,0,1
fraud,2,0
fraught,0,1
freak,3,0
freakass,1,0
freaked,1,1
freakish,2,0
freaks,1,0
fred,0,2
free,22,19
freeand,0,1
freed,1,1
freediving,2,0
freedom,22,2
freedoms,1,0
freelance,0,1
freely,1,1
freeman,1,0
freeway,1,1
freeze,1,0
freezing,3,0
french,7,5
frenzied,0,1
frenzy,0,1
frequent,2,0
frequently,0,1
fresh,2,9
freshen,0,1
freshlipped,0,1
freshly,1,0
freshman,3,0
freshmen,1,0
freshness,0,1
freshwater,0,5
freud,1,0
